City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,caranguejeira,39.7462,-8.7074,16.68,93,100,1.03,PT,1727745680
302,arawa,-6.2132,155.5367,30.91,64,45,2.28,PG,1727745681
303,truth or consequences,33.1284,-107.2528,33.13,13,0,0.0,US,1727745682
304,mirny,62.5353,113.9611,3.16,97,100,4.53,RU,1727745683
305,lydenburg,-25.0978,30.4597,6.56,18,0,2.25,ZA,1727745684
306,vadso,70.0744,29.7487,4.09,70,20,8.75,NO,1727745685
307,wajir,1.7471,40.0573,25.15,63,31,6.6,KE,1727745686
308,beyneu,45.3167,55.2,13.45,39,0,4.89,KZ,1727745688
309,lander,42.833,-108.7307,13.45,19,0,3.6,US,1727745689
310,kiunga,-6.1219,141.2906,28.66,65,100,1.39,PG,1727745690
311,murtosa,40.7553,-8.6585,17.26,17,100,0.44,PT,1727745691
312,eyl,7.9803,49.8164,24.55,88,8,3.32,SO,1727745692
313,hafar al-batin,28.4328,45.9708,30.32,25,0,6.17,SA,1727745693
314,lorengau,-2.0226,147.2712,28.98,80,37,5.47,PG,1727745694
315,selkirk,50.1436,-96.8845,11.77,56,81,4.02,CA,1727745695
316,sokoni,-6.4333,39.55,24.75,80,100,2.23,TZ,1727745696
317,nanning,22.8167,108.3167,25.25,81,43,6.12,CN,1727745697
318,puerto deseado,-47.7503,-65.8938,5.46,52,44,7.18,AR,1727745698
319,ouled mimoun,34.9047,-1.0339,24.19,61,52,2.06,DZ,1727745699
320,goulburn,-34.75,149.7167,16.55,57,0,1.79,AU,1727745700
321,colonia,50.9333,6.95,14.47,88,40,4.12,DE,1727745702
322,quellon,-43.1167,-73.6167,3.29,73,11,3.84,CL,1727745703
323,pingliang,35.5392,106.6861,8.93,38,0,0.64,CN,1727745704
324,cestos city,5.46,-9.5828,24.6,92,99,3.52,LR,1727745705
325,katsuren-haebaru,26.3369,127.8719,31.01,81,75,4.63,JP,1727745707
326,la carolina,38.2756,-3.6153,19.3,40,5,0.55,ES,1727745709
327,anaconda,46.1285,-112.9423,8.13,26,29,1.94,US,1727745711
328,grand gaube,-20.0064,57.6608,22.99,79,10,1.34,MU,1727745712
329,talnakh,69.4865,88.3972,2.09,99,100,2.66,RU,1727745713
330,nili,33.7218,66.1302,10.0,66,0,0.91,AF,1727745714
331,uturoa,-16.7333,-151.4333,26.63,77,48,3.37,PF,1727745715
332,manokwari,-0.8667,134.0833,28.65,70,100,1.82,ID,1727745716
333,saint-francois,46.4154,3.9054,14.25,89,100,1.03,FR,1727745717
334,san patricio,28.017,-97.5169,25.97,51,0,5.22,US,1727745718
335,senador jose porfirio,-2.5908,-51.9542,27.53,66,11,1.87,BR,1727745719
336,vilyuchinsk,52.9306,158.4028,9.15,79,100,1.31,RU,1727745720
337,sambava,-14.2667,50.1667,22.23,84,30,3.78,MG,1727745721
338,san jose,37.3394,-121.895,32.22,27,0,3.6,US,1727745595
339,makamba,-4.1348,29.804,18.47,77,69,0.93,BI,1727745724
340,kindu,-2.95,25.95,20.98,87,98,0.67,CD,1727745725
341,zeya,53.75,127.2667,6.32,51,12,0.77,RU,1727745726
342,kourou,5.1552,-52.6478,25.59,86,18,2.56,GF,1727745727
343,kuta,-8.7233,115.1723,28.97,84,40,5.66,ID,1727745728
344,yeniseysk,58.4497,92.1703,9.48,96,100,4.68,RU,1727745729
345,hun,29.1268,15.9477,21.16,56,0,1.66,LY,1727745730
346,bac lieu,9.285,105.7244,28.45,78,75,3.82,VN,1727745731
347,pisco,-13.7,-76.2167,17.03,88,0,5.14,PE,1727745732
348,skowhegan,44.7651,-69.7192,15.28,72,46,1.76,US,1727745733
349,al ghayzah,16.2079,52.176,26.6,75,67,3.6,YE,1727745734
350,espiye,40.9479,38.7115,19.57,95,100,6.03,TR,1727745736
351,namibe,-15.1961,12.1522,16.83,90,40,2.27,AO,1727745737
352,majuro,7.0897,171.3803,30.98,70,100,4.12,MH,1727745738
353,smithers,54.7804,-127.1743,3.18,93,100,3.6,CA,1727745739
354,az zuwaytinah,30.9522,20.1202,22.62,62,54,4.23,LY,1727745740
355,labrador city,52.9463,-66.9114,7.88,72,0,4.92,CA,1727745741
356,balkashino,52.5167,68.7667,9.74,42,14,1.92,KZ,1727745742
357,viedma,-40.8135,-62.9967,8.23,73,100,5.4,AR,1727745743
358,shiyan,32.6475,110.7781,15.12,75,100,1.0,CN,1727745744
359,mamou,10.5,-12.0,20.66,97,100,0.68,GN,1727745745
